cent_latitude,cent_longitude,clust_size
40.717515595,-73.9893091328,14133
41.8781902128,-87.6298429998,3814
33.4472769695,-111.902611932,2341
38.8869858429,-77.0485665903,2744
33.4484736503,-112.074079455,2735
37.686006854,-122.408890507,1700
37.7864841235,-122.423815529,2224
33.7685600832,-84.3926919823,1854
42.3630181534,-71.074572009,1650
47.6064321793,-122.332078722,1472
34.0647506387,-118.267487204,940
33.3576387985,-111.822635055,1274
44.9777087444,-93.2680521352,1171
36.117361153,-115.171257613,1174
30.2673217231,-97.7428671005,1087
39.9518871287,-75.1634943326,1064
40.7688693225,-73.8381236332,750
32.9811214555,-117.078438369,993
34.0350337354,-118.433901879,671
39.7349464379,-104.989195229,821
28.5424416496,-81.3768333981,781
32.8034307155,-96.7695989648,785
34.1261459763,-118.353230276,531
25.7874678472,-80.215136596,703
43.0406802445,-87.9063670026,683
-6.21190821016,106.84406738,641
29.7621558605,-95.3832629621,626
37.395486331,-122.093633411,645
45.5230548168,-122.676017306,581
37.344713625,-121.908428589,628
32.7110442225,-117.153251778,542
33.6775484459,-117.853851075,597
33.8095446897,-117.891370181,522
43.6533794785,-79.3830975441,510
32.2217429,-110.926479,472
27.9493668986,-82.465016083,435
40.7563629337,-74.1932126488,295
33.9219580243,-118.413539376,395
39.99629727,-82.9994636028,393
39.768327279,-86.15806221,390
34.1603459951,-118.234368666,76
39.0983706548,-94.5869666937,361
47.6428056237,-122.169565455,400
40.439750535,-79.9967019414,351
39.2872209031,-76.6139701028,341
37.8044578797,-122.268352524,378
35.2273068307,-80.8431951377,329
40.8447466049,-74.1327318361,297
33.8112939268,-118.145453402,277
34.1891089085,-118.456560696,293
40.8614436274,-73.8789245858,332
29.4243695183,-98.4935743093,292
34.1264930104,-118.122380516,244
33.5590378206,-112.211604426,280
51.5027243943,-0.12809028172,285
35.7709958431,-78.6369312066,270
37.542420008,-122.298999579,274
40.7069765872,-73.6032636628,396
38.6449735095,-90.2266823337,276
26.1215124549,-80.1588952664,216
38.8772096301,-77.2441833414,265
44.9591676797,-93.1194302494,256
41.4914493907,-81.7061641961,227
42.4057073785,-83.0904003895,144
39.0114494098,-77.0870646192,184
29.9650413565,-90.0814873595,203
37.5432944963,-77.4691800936,226
38.9841408413,-77.4026548078,186
38.5815087152,-121.496437575,211
39.1293344595,-84.50202734,211
34.0706189927,-118.02820075,89
44.9205175419,-93.414157153,124
40.690675904,-74.2786490975,160
41.5976848151,-93.6526348833,212
40.0149856,-105.2705456,191
36.0871165337,-86.6489070019,187
40.9851574172,-73.7568693167,208
42.4877590531,-83.1617286101,161
36.1644467864,-86.7809201441,178
40.759315808,-111.895353247,168
49.2407340229,-123.110774271,175
39.0082397822,-94.6723240172,150
40.604218178,-74.1326363542,139
33.9015531258,-118.063269486,151
43.0730428155,-89.4011768354,161
30.3324660025,-81.6551801255,161
40.4997420755,-74.4284967113,148
41.2530813873,-95.9996397127,155
33.5779276506,-117.705753512,179
41.0815363244,-73.4939125647,121
37.6921690819,-122.097259359,155
42.8909810221,-78.8760666786,145
43.164348573,-77.6157059905,148
42.0542491535,-87.8241108799,186
33.4778706347,-112.353503951,95
42.9570396007,-85.6682386993,142
32.8572378293,-96.99285997,77
33.0123149921,-96.7000254784,123
34.0082839217,-117.918333039,113
45.5048896732,-73.5563918594,138
33.9789700051,-84.5743371307,169
43.0530332838,-76.1413125779,115
41.7980444051,-88.1099130824,110
44.8553581015,-93.3085982871,118
1.34979710458,103.82013587,131
35.1494357519,-90.0485354534,131
32.9312835062,-97.0701194202,96
26.0369896,-80.2129081891,104
47.4508391189,-122.258791852,127
37.9119546685,-122.066413031,122
28.6452928894,-81.3431439244,141
33.5787886723,-112.350758048,108
42.0826821877,-87.9465653221,53
32.7268959213,-97.3200688484,123
39.0915252117,-77.1703164942,114
34.0641812051,-84.3168025814,118
45.0456886086,-93.415645956,97
39.9801991061,-86.058268393,115
34.0559825052,-117.699034437,124
26.329980186,-80.0927368289,116
38.5283107904,-90.3781801342,110
38.2538839795,-85.758133225,113
35.7954123125,-78.8004674509,102
41.8713608345,-87.8760775618,78
39.1916183972,-76.8498100213,62
40.0776776,-75.3293550852,85
21.3052974296,-157.856515484,108
-23.5499428336,-46.6385495486,106
37.5554467327,-121.999080532,104
40.5763027779,-74.2870009385,73
42.1608857981,-87.8366615356,66
-0.3012262,36.5229641,103
35.2013516,-111.639249,103
34.0699352738,-117.806620162,73
42.2712313233,-83.7269565311,103
34.0489281,-111.0937311,103
42.6163588353,-83.1868374255,69
-6.91541462941,107.608211176,103
41.8512870069,-87.9749572861,104
32.7838859119,-79.9201822347,102
39.616705675,-104.992945391,116
40.816980613,-74.36585376,120
28.380697337,-81.537397731,100
40.2530863192,-74.0466909879,53
27.7769579,-82.6456374245,96
33.7955638396,-84.2837163677,102
40.8072860758,-96.6814909263,95
42.3182348436,-83.4061153947,96
41.1330405,-73.3501930862,71
37.9267955793,-122.520166138,92
43.0180414418,-88.0365315934,100
39.8845304407,-75.0492283132,92
42.0364182681,-88.0711238385,69
30.4418596538,-84.2862098846,91
48.857981911,2.34730393407,91
40.149264782,-74.0429663798,78
40.8380760101,-73.3795100506,105
35.9940329,-78.898619,88
38.9727994609,-76.9252994598,77
35.9127732093,-79.0585577558,86
38.9517053,-92.3340724,86
40.9304939129,-74.2445130776,97
33.92003586,-84.2814272529,47
19.42045432,-99.1397025718,92
41.7773405176,-72.6796896494,64
-7.26703446988,112.742099181,82
33.896400994,-118.220429075,66
40.337157,-74.6600970205,77
42.198384841,-87.9374916867,52
39.071982778,-76.6417819195,64
39.9652375707,-75.326326922,70
44.778782158,-93.1930386568,65
41.0690469617,-74.0002859531,125
33.1786137593,-117.366286962,81
42.7326309136,-84.5170490469,82
37.7058997506,-121.925134232,66
40.0627032557,-74.3987414152,79
36.0338913684,-115.0015801,79
41.3065338278,-72.9416445709,64
40.3349716896,-74.2757778325,47
27.9949324584,-82.7825876714,67
13.7232491868,100.489080136,73
34.4212471342,-119.696450237,76
41.7997560253,-71.410386788,79
40.6298128987,-74.4204315907,55
40.5651265162,-74.6032856851,75
39.8525442589,-105.053477088,56
39.5296235685,-119.810357315,73
32.8807779764,-97.1856726181,66
32.7856261943,-116.989420401,70
35.9606384,-83.9207392,70
26.19784062,-80.2434946586,71
35.4678370159,-97.5171562319,69
-6.31146469853,106.789545696,69
40.7372148559,-73.2982188515,70
36.072601703,-79.7928725104,66
33.999541094,-81.0389065925,67
40.1140200015,-88.2343442313,67
42.6855929597,-73.7523009985,68
42.4906185606,-83.424627003,50
31.7587198,-106.4869314,65
34.3930028,-118.544338795,84
36.8529263,-75.977985,65
41.1672608031,-73.2195416578,47
41.4559186484,-81.8597077953,59
32.7950584516,-117.229229209,62
42.2818026547,-85.5864382125,65
33.9702269937,-84.1868858222,62
42.2502236226,-71.0080651387,44
40.231459079,-74.7777164597,48
33.6085567596,-86.6368193085,63
41.1262063721,-73.8664816557,56
32.735687,-97.1080656,76
33.8780393459,-117.565564102,66
33.0594707033,-97.0543582262,49
34.8526176,-82.3940104,61
40.5859341492,-105.085297341,61
3.12939821148,101.666633446,63
38.8347426367,-104.824557917,60
40.3708445367,-74.12812834,31
34.1615239133,-118.82933494,72
30.4508739407,-91.1543097898,59
27.9237127983,-82.2857862373,59
41.6316857525,-87.7821511475,41
45.0831652864,-93.2914793017,54
41.7202214339,-87.7284101,51
-6.18255289661,106.656394929,59
26.6992399305,-80.0535855949,57
39.7541537569,-84.1914775207,56
32.0560622569,-81.1014764862,58
42.5360188155,-82.9746197879,38
33.1502543086,-117.158352619,58
28.2955044207,-81.4083325034,58
37.6922361,-97.3375448,58
33.1444677517,-96.8429706552,59
40.4327864439,-74.2230239386,44
44.0512504474,-123.077669432,57
42.5237065579,-70.9160874456,64
43.0267053684,-88.2362452158,57
-33.8604826614,151.209228275,58
40.8175305877,-73.0757360825,45
33.0581063,-112.0476423,56
36.9809195482,-122.023745177,59
47.7814377786,-122.278652321,69
40.1351304,-75.1825290429,50
39.0719886893,-77.5147747304,57
38.7286735357,-121.260258046,72
41.9376379464,-88.1279135304,24
29.9860318321,-90.1906853607,56
42.3281890291,-87.8825422364,59
33.9533487,-117.3961564,55
45.4116528909,-75.6983998545,55
51.045,-114.0572222,55
39.3419543945,-76.7718928764,56
39.2000179327,-76.6738271727,45
33.0134700109,-117.282434153,55
35.0844909,-106.6511367,55
41.0916813815,-81.5045960648,50
44.4773166111,-73.1991654278,56
42.3280690741,-71.3653353833,33
33.6499415849,-84.4431023075,48
30.4900589302,-97.6633397019,53
37.09024,-95.712891,52
35.67472705,139.708438985,52
39.7294319,-104.8319195,52
39.4198314404,-76.6035424481,42
41.3687057558,-81.7728889135,42
43.5867164,-116.1956556,51
26.4962760725,-80.0691652392,51
39.74545094,-75.548089438,53
42.9697047388,-78.795540002,52
40.265875398,-76.8913573633,57
25.9075834878,-80.2586693531,73
36.8222567061,-76.2839853469,49
27.3364347,-82.5306527,48
22.387370375,114.118447371,42
33.9314846458,-83.99447495,53
42.2047261298,-71.1562619468,41
42.2154256277,-88.2977141809,39
41.8191174532,-72.5786432915,47
38.9993156319,-76.7788690809,30
42.4925792936,-71.2585889404,89
33.4900819717,-86.7994944783,47
36.5997410717,-121.888095604,47
41.3465962043,-73.4553095348,47
39.0846988348,-76.8763398674,37
34.0549527089,-84.0770532044,30
33.46697806,-117.65648846,33
34.7546288911,-92.2817921156,45
36.778261,-119.4179324,45
43.6565968844,-70.25586254,43
34.0823089311,-117.238874024,43
32.9520497067,-96.8629288533,45
38.8332614933,-77.4370622333,35
40.588429675,-111.890421809,46
40.172446175,-74.9142340659,36
29.6516344,-82.3248262,44
35.9249015045,-86.8687374636,44
42.7592932818,-71.4634011182,44
44.2507362636,-88.4199486795,44
33.9557141068,-83.3818019955,44
-8.67830436364,115.208048091,44
40.6191087023,-75.4887620698,42
39.363664769,-74.429470531,40
39.165325,-86.5263857,42
38.7277476214,-77.2249864643,40
13.7806967976,100.617330557,47
38.9752215429,-76.5009060571,43
44.9363821585,-92.9720159976,48
37.6488788415,-77.5228189463,41
39.9842636244,-75.623522139,54
41.5004114951,-81.5194779951,34
44.8840315171,-93.6074712561,57
39.9638922366,-105.085788978,38
42.0164086561,-88.2098930951,32
37.7993839341,-121.990184329,34
42.071700422,-72.5925278512,50
44.680923245,-93.2153651975,40
37.566535,126.9779692,40
38.0317136,-84.4951359,40
41.7678069925,-88.32277321,34
42.260733155,-83.1867936975,50
47.5333719275,-122.024034805,40
47.2778711375,-122.28641255,40
38.9716689,-95.2352501,40
36.0331164,-86.7827772,39
40.4915610538,-88.9916344846,39
34.2257255,-77.9447102,39
14.5792664462,121.026095774,42
38.7215521289,-75.0792375368,38
40.0998214605,-83.1137481211,32
45.6359375158,-122.657659853,38
38.5826847289,-90.4709756789,20
41.24022435,-73.7283386026,32
42.6367509842,-83.0165073842,38
47.9923914395,-122.197474579,38
33.2412089605,-111.628113642,39
42.5780853763,-83.3094627632,38
41.2365894,-73.0824337324,36
40.6159017838,-75.3640312405,37
42.1882226459,-88.1973627811,31
34.1510783027,-84.5105100378,37
34.0982247811,-117.351073597,20
39.938544673,-74.9062182676,41
40.8610678568,-74.6390714676,31
40.4871556081,-80.2201796162,38
40.2415332432,-75.1287769622,36
40.1722437324,-75.4686677838,23
39.9634992838,-76.7243890865,37
34.2073196,-84.1401926,36
43.5528776833,-79.6275606667,36
-33.4257767528,-70.5699280583,36
45.4404536139,-122.793817006,36
42.4439614,-76.5018807,36
-34.6065559528,-58.3768823,35
40.3819842917,-74.5220818028,24
41.67803415,-86.22715885,36
38.3047222,-122.2988889,36
33.16370295,-96.6495869611,36
39.4130783257,-77.4112472629,35
-0.789275,113.921327,35
33.5074162886,-117.163349577,35
35.6046197229,-82.5550072171,35
-7.79342247429,110.379774009,36
42.4364275229,-71.4075997057,35
28.0394654,-81.9498042,35
33.5778631,-101.8551665,34
30.4175345765,-87.2137938706,34
21.3674480912,-157.996976212,34
47.6587802,-117.4260466,34
42.0887532559,-71.1682112235,28
28.0699868059,-80.6032683471,35
36.7508863941,-119.774213953,34
40.7926362636,-77.8558027758,33
29.2152085424,-81.0254342061,33
28.5391726212,-81.5619962727,32
42.2687549727,-71.4686753303,27
52.3729695424,4.89231146364,33
33.1927204364,-97.1082188091,33
36.1539816,-95.992775,32
3.585242,98.675598,32
42.7012892531,-71.1311424125,38
41.2716788719,-73.8651213031,33
35.8456213,-86.39027,32
39.3599642594,-84.5146565781,28
41.2681168437,-75.9007117281,32
30.69574545,-88.0441739375,32
43.5499749,-96.700327,31
40.0762633613,-74.8482971129,24
29.6195621968,-95.6324551968,31
42.9908817,-71.4607032032,28
44.5043649258,-88.0292971258,31
55.7511477935,37.6203875484,31
42.2616940935,-71.7764935935,36
41.464224571,-72.8591378129,31
41.5831330367,-81.46299672,20
52.5211713367,13.4088430067,30
39.3154850833,-74.5721094533,28
34.2659,-119.258366,30
27.8005828,-97.396381,30
39.02345603,-84.6462126667,31
45.09154616,-93.09603902,22
31.230393,121.473704,30
28.5502780133,-81.7719654,30
41.7143372,-73.9226690448,30
27.8561296103,-82.7739212207,29
40.7004820621,-73.1237335448,25
40.0323583828,-76.3122196414,29
40.424604269,-86.9035443138,29
38.7814904966,-90.5502790207,43
36.2007075793,-86.5663613034,29
34.0050079,-118.8100893,29
35.0449307897,-85.3052956345,29
41.079273,-85.1393513,29
42.6064681276,-71.2886624345,29
40.4409116172,-79.8510834138,26
39.6837226,-75.7496572,29
42.9147277,-87.863240025,28
42.7148939821,-83.24084905,25
38.2827462321,-122.666703189,28
43.0744540821,-70.7676966071,28
38.4407552179,-122.71579155,31
38.8759707,-94.8278741786,28
41.3606283,-72.1054288964,25
43.146052825,-77.4522831786,28
40.8876437393,-72.9936683964,26
40.7296043214,-74.6273100679,28
25.6759534643,-100.308277154,28
40.3536555407,-80.0700682,27
43.0387262593,-76.040306537,27
47.6093313889,-122.672849352,29
41.6639383,-83.555212,29
41.5172008995,-90.541519296,30
34.2694474,-118.781482,40
-22.9035393,-43.2095869,27
38.0499828185,-122.277161222,57
40.9658053923,-72.1753134,26
61.2180556,-149.9002778,26
32.07165125,34.7948201654,23
34.7303688,-86.5861037,26
46.7841373538,-92.1006234462,26
38.7288975192,-90.3781600269,26
33.4863145923,-82.0214742615,26
41.1693510154,-81.4049393,16
40.1671878962,-111.654751742,26
26.6426791923,-81.8729066846,26
37.9746411231,-87.5564344154,26
41.5342460808,-73.9612228769,38
31.5459996769,-97.1511568846,26
38.0293059,-78.4766781,26
42.4431922615,-82.9059534462,24
46.8769326538,-96.7880663846,26
37.2150810462,-93.2980149577,26
-6.247244816,107.147065536,28
41.53899104,-87.496507088,25
42.1292241,-80.085059,25
30.16243782,-95.48266212,25
37.00942474,-76.37833428,26
33.6890603,-78.8866943,25
43.46270192,-80.51880316,25
40.823569284,-81.386091352,25
-37.8159371708,144.966926288,24
41.6603030208,-72.8416464667,26
44.9448650792,-123.034725942,24
36.35583955,-94.1712002833,24
37.4768851167,-122.4463647,24
40.0094619208,-82.827918725,14
33.7763685708,-84.7239864042,17
40.6442264522,-111.501632465,23
39.9148487304,-82.7891789087,23
27.5008842435,-82.574602,23
41.6117461087,-88.2039672739,22
39.3368099174,-84.2879575739,15
37.9470368609,-121.660604704,23
36.0605047609,-94.1607267,23
36.0998596,-80.244216,23
18.4661043478,-66.1059149435,23
35.3736785565,-119.017142396,23
28.6663376391,-81.1970693043,23
43.0288493696,-89.5197847565,21
29.7857853,-95.8243956,23
47.039866987,-122.89691383,23
28.8812186522,-81.2777045304,25
33.7132831348,-116.307472943,27
37.6390972,-120.9968782,23
40.6971149478,-89.5872954261,23
35.4283264261,-80.8456042261,21
45.4025570318,-122.608766614,23
55.6889693182,12.5866113227,22
35.2827524,-120.6596156,22
43.1030376136,-88.4273322909,22
32.9298174773,-96.6210842318,22
30.0799405,-95.4171601,22
42.3442173545,-88.1632761864,22
48.7595529,-122.4882249,22
39.9458125136,-74.1659480864,23
41.6761746091,-91.5563948864,23
47.25225815,-122.440325864,21
40.1261743,-82.9290696,22
45.0287103273,-92.7994877773,23
27.6648274,-81.5157535,22
35.6779995601,-78.8299070146,20
38.5649602429,-89.9406381667,21
34.2163937,-119.0376023,21
32.4614525762,-84.9883311095,21
41.8815400714,-88.2811663667,20
39.3722121,-104.8560902,21
42.8157494095,-73.9383369857,21
38.0097228905,-121.806106743,18
45.2028646381,-93.4172359857,24
33.8333716,-111.9507042,21
39.5872222,-78.8425,21
38.5449065,-121.7405167,21
37.6780561524,-121.765701043,21
45.07959119,-92.983136355,19
42.222038355,-71.589913295,16
39.77453074,-86.39884212,23
39.672045575,-84.11818656,19
42.35399805,-88.055008625,20
40.2663224,-76.67191509,21
42.10207552,-75.92614088,24
30.274402705,-81.39352693,20
42.32009402,-71.56589878,14
42.11530774,-79.289798285,20
30.63725446,-96.34151808,20
40.4166909,-3.7003454,20
39.904214,116.407413,20
33.82524075,-116.537292,20
37.2707022,-76.7074571,20
12.9715987,77.5945627,20
44.0216306,-92.4698992,20
42.02335,-93.625622,20
48.1391265,11.5801863,20
42.7261309,-87.7828523,19
45.5241549579,-122.957436526,17
46.729553,-94.6858998,19
41.4930209895,-71.3117001,18
40.2732005526,-74.3745100421,19
41.2845532947,-72.6172002579,12
39.1910983,-106.8175387,19
33.4150485,-111.5495777,19
40.3885653579,-111.826316458,18
42.2817156684,-89.0863198158,19
28.3321532632,-80.6481124,20
42.3537399842,-72.5782127842,19
20.8842689737,-156.682178358,20
35.6062153158,-77.3667523368,19
35.4128890474,-80.5817332684,19
43.2321651526,-87.9731152684,21
31.9685988,-99.9018131,19
41.387917,2.1699187,19
42.2346766056,-70.8967487944,15
33.3703197,-112.5837766,18
29.5492473833,-95.2018511167,10
39.755543,-105.2210997,18
29.8942639,-81.3132083,18
32.216316,-80.752608,18
41.6287730778,-70.9396211222,20
41.5669117833,-73.0676603389,20
41.9950284389,-91.6633890889,18
25.2644444,55.3116667,18
36.6777372,-121.6555013,18
38.6926288222,-76.8841724222,18
45.7832856,-108.5006904,18
49.2346831111,-122.957817611,17
32.7253248,-114.624397,18
41.0359353,-71.9545146,18
37.5068835556,-77.6422326778,18
43.8926784889,-79.248967,19
41.39572405,-73.0733207222,11
42.5640977889,-83.5362589556,19
40.9240855389,-72.3433968889,18
41.3606863833,-81.6177168056,18
39.3656946222,-76.5009012333,19
35.1538550222,-89.7774300944,19
41.3840355833,-81.4018252944,15
39.0166078412,-94.2669577176,17
39.7817213,-89.6501481,17
43.2079495059,-71.5558818294,17
41.3718703353,-73.6804485824,15
33.4712744,-84.5897830059,10
42.8152873118,-70.8803797824,17
39.5186002,-104.7613633,28
41.5567995294,-87.6183941,12
41.7266667,-93.6041667,17
40.5466132882,-79.9486049941,17
39.629526,-79.9558968,17
42.2411499,-83.6129939,19
40.2320763059,-75.5887638176,17
41.7636570176,-72.2520168118,17
-6.589166,106.792999,17
38.4467702059,-78.8661888882,16
26.8177854529,-80.1196640706,15
42.7919354588,-86.0929984941,17
41.4232424706,-70.5504340412,17
1.46386774375,124.84053035,17
45.4630555437,9.1873592375,16
30.1580937375,-81.7032197,15
30.5189994062,-97.8264350125,16
32.6098566,-85.4807825,16
38.34018375,-75.0893330312,15
34.5400242,-112.4685025,16
35.2214522687,-106.6630143,16
43.204251225,-70.8698156188,16
41.413389125,-82.0216945063,11
39.7284944,-121.8374777,16
41.6374438375,-88.0711372062,20
40.6381324125,-89.4110136625,16
42.712743375,-83.4107480625,16
